hidden1_dim,hidden2_dim,learning_rate,epochs,patience,number_of_batches,learning_shrink,input_dim,random_state,train_mse,val_mse,best_val_loss_train_loop,final_learning_rate,epochs_ran,status,seconds,error
64,32,0.01,100,5,4000,False,16,0,0.028918934911635226,0.0289787901125644,0.0289235217447804,0.01,25.0,ok,16.772,
64,32,0.01,100,10,40,True,16,0,0.03109922653078854,0.0312126581367727,0.0311545014724228,0.003486784401,100.0,ok,94.263,
64,32,0.01,100,10,40,False,16,0,0.030132760294345588,0.0301313186026642,0.0301563747167399,0.01,100.0,ok,97.522,
64,32,0.01,100,10,400,True,16,0,0.029036730737601237,0.0290539018239009,0.0291071898947775,0.0015009463529699,72.0,ok,51.977,
64,32,0.01,100,10,400,False,16,0,0.029004253826932724,0.0289982497299907,0.0290529554941239,0.01,100.0,ok,70.537,
64,32,0.01,100,10,4000,True,16,0,0.028813617099728465,0.0288787934092236,0.0288741445286692,0.004782969,32.0,ok,22.753,
64,32,0.01,100,10,4000,False,16,0,0.028369427514927735,0.0284989699452717,0.0284312356202385,0.01,97.0,ok,67.975,
64,64,0.001,100,5,40,True,16,0,0.044987042733881745,0.0450737892606312,0.0451426370480511,0.001,100.0,ok,114.912,
64,64,0.001,100,5,40,False,16,0,0.04560500010003982,0.0458618637603482,0.0455870506416048,0.001,100.0,ok,119.52,
64,64,0.001,100,5,400,True,16,0,0.03180302696609888,0.0318962468155976,0.0317899779653975,0.00043046721,100.0,ok,110.538,
64,64,0.001,100,5,400,False,16,0,0.03024812608347285,0.0303768701903187,0.0302446675817869,0.001,100.0,ok,106.271,
64,64,0.001,100,5,4000,True,16,0,0.029001084328281336,0.0290178089675505,0.0290358366293631,0.0003486784401,47.0,ok,38.976,
64,64,0.001,100,5,4000,False,16,0,0.0288658706515553,0.0289283080776843,0.0289600188235759,0.001,76.0,ok,64.006,
64,64,0.001,100,10,40,True,16,0,0.043404696633320625,0.04341855680593,0.0438065077921534,0.001,100.0,ok,124.92,
64,64,0.001,100,10,40,False,16,0,0.04552235377091205,0.045481547440834,0.0454779316940944,0.001,100.0,ok,127.369,
64,64,0.001,100,10,400,True,16,0,0.030723330590197474,0.0307244136126165,0.0306930595011398,0.00031381059609,100.0,ok,110.301,
64,64,0.001,100,10,400,False,16,0,0.03058311885567249,0.030555761057969,0.0307254032692332,0.001,100.0,ok,112.913,
64,64,0.001,100,10,4000,True,16,0,0.02897768024008309,0.0290656883058728,0.0290590490200321,0.0001350851717672,77.0,ok,71.4,
64,64,0.001,100,10,4000,False,16,0,0.02890561844570339,0.0289525390119033,0.0289519875680528,0.001,99.0,ok,85.422,
64,64,0.001,100,20,40,True,16,0,0.04853016508161749,0.048426956769844,0.0485968412495087,0.001,100.0,ok,124.852,
64,64,0.001,100,20,40,False,16,0,0.046573163205707445,0.0468983417143444,0.0469698619587414,0.001,100.0,ok,126.983,
64,64,0.001,100,20,400,True,16,0,0.030932853453555256,0.0310456974379578,0.0309725278932695,0.00031381059609,100.0,ok,109.745,
64,64,0.001,100,20,400,False,16,0,0.031000808533338423,0.0311107565574137,0.0310418040782295,0.001,100.0,ok,112.461,
64,64,0.001,100,20,4000,True,16,0,0.02892269303441228,0.0289745220129938,0.0290299054569591,6.461081889226677e-05,100.0,ok,90.632,
64,64,0.001,100,20,4000,False,16,0,0.028826857407523915,0.0288621310725887,0.0288811233641105,0.001,100.0,ok,85.214,
64,128,0.1,100,1,40,True,16,0,0.029623276553803746,0.0297337541981639,0.0296715009128785,0.081,40.0,ok,70.511,
64,128,0.1,100,1,40,False,16,0,0.02956267814222718,0.0295471311684082,0.02962290165262,0.1,27.0,ok,47.966,
64,128,0.1,100,1,400,True,16,0,0.029066408989222754,0.0291135827935088,0.029138765224317,0.09,15.0,ok,29.585,
64,128,0.1,100,1,400,False,16,0,0.029021300375124622,0.0290258810508605,0.0291248555478866,0.1,17.0,ok,33.107,
64,128,0.1,100,1,4000,True,16,0,0.029071764537350622,0.0290717730761032,0.0290728707508382,0.1,7.0,ok,13.752,
64,128,0.1,100,1,4000,False,16,0,0.029071153496569288,0.0290725768518431,0.0291359078049735,0.1,6.0,ok,12.457,
64,128,0.1,100,3,40,True,16,0,0.02935706710723836,0.0294287096665247,0.0293770382938478,0.0205891132094649,78.0,ok,142.779,
64,128,0.1,100,3,40,False,16,0,0.029464561758305936,0.0294457719709843,0.0296451799925259,0.1,49.0,ok,91.843,
64,128,0.1,100,3,400,True,16,0,0.02915872941282584,0.0291603435231033,0.0292196033799646,0.0531441,24.0,ok,47.783,
64,128,0.1,100,3,400,False,16,0,0.028348099564308383,0.0284460527658184,0.0284273187702706,0.1,93.0,ok,178.35,
64,128,0.1,100,3,4000,True,16,0,0.028346892452629682,0.0284562461907864,0.0284138824531679,0.06561,25.0,ok,46.566,
64,128,0.1,100,3,4000,False,16,0,,,,,,error,6.415,"UnboundLocalError(""cannot access local variable 'best_params' where it is not associated with a value"")"
64,128,0.1,100,5,40,True,16,0,0.029930312031306538,0.0299434121375523,0.0299827423957027,0.0121576654590569,71.0,ok,124.279,
64,128,0.1,100,5,40,False,16,0,0.02918669427666092,0.0292481056670907,0.0292415412460712,0.1,100.0,ok,181.807,
64,128,0.1,100,5,400,True,16,0,0.02916128697176049,0.029151095145929,0.0292196559956067,0.022876792454961,48.0,ok,93.762,
64,128,0.1,100,5,400,False,16,0,0.029013375063928676,0.0290809909003782,0.0289583509093126,0.1,37.0,ok,65.81,
64,128,0.1,100,5,4000,True,16,0,0.02824921445989422,0.0283564863648804,0.0282965445747576,0.0282429536481,54.0,ok,98.628,
64,128,0.1,100,5,4000,False,16,0,0.028238707983516714,0.0283298448364252,0.0283242825650957,0.1,37.0,ok,67.876,
64,128,0.1,100,10,40,True,16,0,0.03012852998405698,0.0300635315416065,0.0302372823778291,0.0042391158275216,100.0,ok,177.904,
64,128,0.1,100,10,40,False,16,0,0.02923566652002663,0.0292406207880484,0.0292670871330389,0.1,100.0,ok,181.587,
64,128,0.1,100,10,400,True,16,0,0.029322598071958982,0.0293219321149679,0.0293966452593806,0.0052334763302736,93.0,ok,177.023,
64,128,0.1,100,10,400,False,16,0,0.028832639742417437,0.028877830860415,0.0288995354193472,0.1,97.0,ok,151.641,
